event_id,name,url,start_time,start_date,end_time,end_date,duration,venue_name,venue_address,longitude,latitude,summary,is_online_event,tickets_url,tags,data_source,image,age_range,min_age,max_age
000000000003,Acuario de Sevilla,https://www.acuariosevilla.es/,,,,,,,,-5.9869,37.3764,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/salud_jny2bg.jpg,,,
000000000004,Oasis Wildlife,https://www.oasiswildlifefuerteventura.com/,,,,,,,,-14.1611,28.2083,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/salud_jny2bg.jpg,,,
000000000006,Siam Park,https://www.siampark.net/,,,,,,,,-16.7265,28.0718,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/salud_jny2bg.jpg,,,
000000000009,Jungle Park,https://www.aguilasjunglepark.com/,,,,,,,,-16.6825,28.079,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/salud_jny2bg.jpg,,,
000000000010,Ciudad de las Artes y las Ciencias,https://www.cac.es/,,,,,,,,-0.353,39.455,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/salud_jny2bg.jpg,,,
000000000012,Aquarium Costa de Almería,https://www.aquariumcostadealmeria.com/,,,,,,,,-2.614,36.765,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/salud_jny2bg.jpg,,,
000000000014,Acuario Poema del Mar,https://www.poema-del-mar.com/,,,,,,,,-15.4236,28.1426,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/salud_jny2bg.jpg,,,
000000000015,Western Water Park Magaluf,https://www.westernpark.com/,,,,,,,,2.535,39.508,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/salud_jny2bg.jpg,,,
000000000017,Puy du Fou Toledo,https://www.puydufou.com/espana/,,,,,,,,-4.05,39.891,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470423/educacion_l4vmvo.jpg,,,
000000000019,Acuario de Zaragoza,https://www.acuariodezaragoza.com/,,,,,,,,-0.899,41.66,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470423/educacion_l4vmvo.jpg,,,
000000000020,Water World,https://www.waterworld.es/,,,,,,,,2.825,41.698,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470423/educacion_l4vmvo.jpg,,,
000000000022,Aqualand Costa Adeje,https://www.aqualand.es/costa-adeje/,,,,,,,,-16.7278,28.0802,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470423/educacion_l4vmvo.jpg,,,
000000000023,Aqualandia,https://www.aqualandia.net/,,,,,,,,-0.11,38.54,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470423/educacion_l4vmvo.jpg,,,
000000000025,Bioparc Fuengirola,https://www.bioparcfuengirola.es/,,,,,,,,-4.624,36.541,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470423/educacion_l4vmvo.jpg,,,
000000000027,Aquarium Donostia,https://www.aquariumss.com/,,,,,,,,-1.986,43.324,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470423/educacion_l4vmvo.jpg,,,
000000000029,Palmitos Park,https://www.palmitospark.es/,,,,,,,,-15.6012,27.7876,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470423/educacion_l4vmvo.jpg,,,
000000000030,Lacuniacha,https://www.lacuniacha.es/,,,,,,,,-0.333,42.667,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470423/educacion_l4vmvo.jpg,,,
000000000032,Atlantis Aquarium Madrid,https://www.atlantisaquarium.com/,,,,,,,,-3.819,40.372,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470423/educacion_l4vmvo.jpg,,,
000000000034,Aqualand Maspalomas,https://www.aqualand.es/maspalomas/,,,,,,,,-15.593,27.77,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470423/educacion_l4vmvo.jpg,,,
000000000035,Zoo de Madrid,https://www.zoomadrid.com/,,,,,,,,-3.7619,40.4036,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/main_lvo4bq.jpg,,,
000000000037,Isla Mágica,https://www.islamagica.es/,,,,,,,,-6.002,37.397,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/main_lvo4bq.jpg,,,
000000000039,Aquópolis Costa Daurada,https://www.aquopolis.es/costa-daurada/,,,,,,,,1.18,41.08,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/main_lvo4bq.jpg,,,
000000000040,Katmandu Park Magaluf,https://www.katmandupark.com/,,,,,,,,2.538,39.51,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/main_lvo4bq.jpg,,,
000000000042,Holiday World Maspalomas,https://www.holidayworldmaspalomas.com/,,,,,,,,-15.582,27.774,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/main_lvo4bq.jpg,,,
000000000044,Terra Natura Murcia,https://www.terranatura.com/,,,,,,,,-1.166,38.016,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/main_lvo4bq.jpg,,,
000000000045,Faunia,https://www.faunia.es/,,,,,,,,-3.627,40.4,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/main_lvo4bq.jpg,,,
000000000047,Selwo Marina,https://www.selwomarina.es/,,,,,,,,-4.525,36.596,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/main_lvo4bq.jpg,,,
000000000049,Aquópolis Torrevieja,https://www.aquopolis.es/torrevieja/,,,,,,,,-0.687,37.993,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/main_lvo4bq.jpg,,,
000000000050,Terra Natura Benidorm,https://www.terranatura.com/,,,,,,,,-0.492,38.567,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/main_lvo4bq.jpg,,,
000000000052,Illa Fantasia,https://www.illafantasia.com/,,,,,,,,2.3339,41.5097,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/salud_jny2bg.jpg,,,
000000000053,Tibidabo,https://www.tibidabo.cat/,,,,,,,,2.1185,41.4225,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/salud_jny2bg.jpg,,,
000000000055,Aqualand Torremolinos,https://www.aqualand.es/torremolinos/,,,,,,,,-4.5097,36.6261,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/salud_jny2bg.jpg,,,
000000000057,Aqua Natura Benidorm,https://benidorm.terranatura.com/aqua-natura/,,,,,,,,-0.4918,38.5671,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/salud_jny2bg.jpg,,,
000000000058,Aqualand Bahía de Cádiz,https://www.aqualand.es/bahiadecadiz/,,,,,,,,-6.2584,36.5158,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/salud_jny2bg.jpg,,,
000000000060,Sea Life Benalmádena (Málaga),https://www.visitsealife.com/benalmadena/,,,,,,,,-4.5173,36.5954,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/salud_jny2bg.jpg,,,
000000000001,DinoPark Algar,https://www.dinopark.es/,,,,,,,,-0.1123,38.6486,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/salud_jny2bg.jpg,,,
000000000002,Aqualava,https://www.aqualava.net/,,,,,,,,-13.8321,28.8636,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/salud_jny2bg.jpg,,,
000000000005,Loro Parque,https://www.loroparque.com/,,,,,,,,-16.548,28.4058,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/salud_jny2bg.jpg,,,
000000000007,Bioparc Valencia,https://www.bioparcvalencia.es/,,,,,,,,-0.4077,39.4789,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/salud_jny2bg.jpg,,,
000000000011,Palma Aquarium,https://www.palmaaquarium.com/,,,,,,,,2.738,39.525,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/salud_jny2bg.jpg,,,
000000000013,Oceanogràfic,https://www.oceanografic.org/,,,,,,,,-0.3517,39.4541,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470387/salud_jny2bg.jpg,,,
000000000016,Parque de la Naturaleza de Cabárceno,https://www.parquedecabarceno.com/,,,,,,,,-3.8297,43.3467,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470423/educacion_l4vmvo.jpg,,,
000000000018,Acuario de Gijón Bioparc,https://www.acuariodegijon.es/,,,,,,,,-5.633,43.535,,,,Ocio,parks_list,https://res.cloudinary.com/doll2vtjc/image/upload/v1746470423/educacion_l4vmvo.jpg,,,
